Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Eiji Kawashima,Japan,GK,#1,0,0,AFC
Yugo Nagtomo,Japan,DEF,#3,2,0,AFC
Hiroki Sakai,Japan,DEF,#2,3,0,AFC
Maya Yoshida,Japan,DEF,#4,3,0,AFC
Takehiro Tomiyasu,Japan,DEF,#24,1,0,AFC
Wataru Endo,Japan,MID,#6,2,0,AFC
Makoto Hasebe,Japan,MID,#5,3,0,AFC
Takumi Minamino,Japan,MID,#7,7,0,AFC
Takefusi Kubo,Japan,MID,#12,7,0,AFC
Musashi Suzuki,Japan,ATK,#9,8,0,AFC
Takuma Asano,Japan,ATK,#10,9,0,AFC
Alireza Beiranvand,Iran,GK,#1,0,0,AFC
Hossein Kanaanizadegan,Iran,DEF,#3,2,0,AFC
Sadegh Moharrami,Iran,DEF,#2,3,0,AFC
Milad Mohammadi,Iran,DEF,#4,2,0,AFC
Morteza Pouraliganji,Iran,DEF,#5,2,0,AFC
Valid Amiri,Iran,MID,#6,4,0,AFC
Ehsan Hajsafi,Iran,MID,#11,5,0,AFC
Medhi Torabi,Iran,MID,#8,5,0,AFC
Alireza Jahanbakhsh,Iran,MID,#7,8,0,AFC
Medhi Taremi,Iran,ATK,#9,9,0,AFC
Sardar Azmoun,Iran,ATK,#10,10,0,AFC
Jo Hyeon-Woo,South Korea,GK,#1,0,0,AFC
Kim Jin-su,South Korea,DEF,#3,2,0,AFC
Kwon Kyung-won,South Korea,DEF,#16,3,0,AFC
Kim Min-jae,South Korea,DEF,#4,1,0,AFC
Hong Chul,South Korea,DEF,#2,1,0,AFC
Lee Chung-yong,South Korea,MID,#6,3,0,AFC
Nam Tae-hee,South Korea,MID,#8,3,0,AFC
Lee Jae-sung,South Korea,MID,#10,5,0,AFC
Hwang Hee-chan,South Korea,ATK,#11,9,0,AFC
Hwang Ui-jo,South Korea,ATK,#16,8,0,AFC
Son Heuing-min,South Korea,ATK,#7,15,0,AFC
Matthew Ryan,Australia,GK,#1,0,0,AFC
Milos Degenek,Australia,DEF,#2,1,0,AFC
Bailey Wright,Australia,DEF,#3,1,0,AFC
Aziz Behich,Australia,DEF,#4,1,0,AFC
Harry Soutar,Australia,DEF,#5,2,0,AFC
Trent Salisbury,Australia,DEF,#6,2,0,AFC
Jackson Irvine,Australia,MID,#7,5,0,AFC
Aaron Mooy,Australia,MID,#8,5,0,AFC
Tom Rogic,Australia,MID,#9,6,0,AFC
Awer Mabil,Australia,ATK,#10,7,0,AFC
Adam Taggart,Australia,ATK,#11,9,0,AFC
Saad Al Sheeb,Qatar,GK,#1,0,0,AFC
Ro-Ro,Qatar,DEF,#2,1,0,AFC
Abdelkarim Hassan ,Qatar,DEF,#3,3,0,AFC
Boualem Khoukhi,Qatar,DEF,#4,4,0,AFC
Al-Madhi Al Mukhtar,Qatar,DEF,#5,2,0,AFC
Karim Boudaif,Qatar,MID,#6,4,0,AFC
Abdulaziz Hatem,Qatar,MID,#7,3,0,AFC
Mohamed Waad,Qatar,MID,#8,3,0,AFC
Hassan Al-Haydos,Qatar,ATK,#9,7,0,AFC
Akram Afif,Qatar,ATK,#10,10,0,AFC
Almoez Azi,Qatar,ATK,#11,10,0,AFC
,Saudi Arabia,GK,#1,0,0,AFC
,Saudi Arabia,DEF,#2,1,0,AFC
,Saudi Arabia,DEF,#3,1,0,AFC
,Saudi Arabia,DEF,#4,2,0,AFC
,Saudi Arabia,DEF,#5,2,0,AFC
,Saudi Arabia,MID,#6,4,0,AFC
,Saudi Arabia,MID,#7,4,0,AFC
,Saudi Arabia,MID,#8,6,0,AFC
,Saudi Arabia,MID,#9,6,0,AFC
,Saudi Arabia,ATK,#10,10,0,AFC
,Saudi Arabia,ATK,#11,10,0,AFC
,Iraq,GK,#1,0,0,AFC
,Iraq,DEF,#2,1,0,AFC
,Iraq,DEF,#3,1,0,AFC
,Iraq,DEF,#4,2,0,AFC
,Iraq,DEF,#5,2,0,AFC
,Iraq,MID,#6,4,0,AFC
,Iraq,MID,#7,4,0,AFC
,Iraq,MID,#8,6,0,AFC
,Iraq,MID,#9,6,0,AFC
,Iraq,ATK,#10,10,0,AFC
,Iraq,ATK,#11,10,0,AFC
,UAE,GK,#1,0,0,AFC
,UAE,DEF,#2,1,0,AFC
,UAE,DEF,#3,1,0,AFC
,UAE,DEF,#4,2,0,AFC
,UAE,DEF,#5,2,0,AFC
,UAE,MID,#6,4,0,AFC
,UAE,MID,#7,4,0,AFC
,UAE,MID,#8,6,0,AFC
,UAE,MID,#9,6,0,AFC
,UAE,ATK,#10,10,0,AFC
,UAE,ATK,#11,10,0,AFC
,China,GK,#1,0,0,AFC
,China,DEF,#2,1,0,AFC
,China,DEF,#3,1,0,AFC
,China,DEF,#4,2,0,AFC
,China,DEF,#5,2,0,AFC
,China,MID,#6,4,0,AFC
,China,MID,#7,4,0,AFC
,China,MID,#8,6,0,AFC
,China,MID,#9,6,0,AFC
,China,ATK,#10,10,0,AFC
,China,ATK,#11,10,0,AFC
,Syria,GK,#1,0,0,AFC
,Syria,DEF,#2,1,0,AFC
,Syria,DEF,#3,1,0,AFC
,Syria,DEF,#4,2,0,AFC
,Syria,DEF,#5,2,0,AFC
,Syria,MID,#6,4,0,AFC
,Syria,MID,#7,4,0,AFC
,Syria,MID,#8,6,0,AFC
,Syria,MID,#9,6,0,AFC
,Syria,ATK,#10,10,0,AFC
,Syria,ATK,#11,10,0,AFC
,Oman,GK,#1,0,0,AFC
,Oman,DEF,#2,1,0,AFC
,Oman,DEF,#3,1,0,AFC
,Oman,DEF,#4,2,0,AFC
,Oman,DEF,#5,2,0,AFC
,Oman,MID,#6,4,0,AFC
,Oman,MID,#7,4,0,AFC
,Oman,MID,#8,6,0,AFC
,Oman,MID,#9,6,0,AFC
,Oman,ATK,#10,10,0,AFC
,Oman,ATK,#11,10,0,AFC
,Uzbekistan,GK,#1,0,0,AFC
,Uzbekistan,DEF,#2,1,0,AFC
,Uzbekistan,DEF,#3,1,0,AFC
,Uzbekistan,DEF,#4,2,0,AFC
,Uzbekistan,DEF,#5,2,0,AFC
,Uzbekistan,MID,#6,4,0,AFC
,Uzbekistan,MID,#7,4,0,AFC
,Uzbekistan,MID,#8,6,0,AFC
,Uzbekistan,MID,#9,6,0,AFC
,Uzbekistan,ATK,#10,10,0,AFC
,Uzbekistan,ATK,#11,10,0,AFC
,Lebanon,GK,#1,0,0,AFC
,Lebanon,DEF,#2,1,0,AFC
,Lebanon,DEF,#3,1,0,AFC
,Lebanon,DEF,#4,2,0,AFC
,Lebanon,DEF,#5,2,0,AFC
,Lebanon,MID,#6,4,0,AFC
,Lebanon,MID,#7,4,0,AFC
,Lebanon,MID,#8,6,0,AFC
,Lebanon,MID,#9,6,0,AFC
,Lebanon,ATK,#10,10,0,AFC
,Lebanon,ATK,#11,10,0,AFC
